subproject,gem_id,library_id,type,donor_id,index,slide,area
BCLLATLAS_32,tarwe1_xott6q,AQ9851,visium,BCLL-2-T,SI-TT-A1,V19S23-039,A1
BCLLATLAS_32,c28w2r_7jne4i,AQ9852,visium,BCLL-8-T,SI-TT-A2,V19S23-039,B1
BCLLATLAS_32,esvq52_nluss5,AQ9853,visium,BCLL-10-T,SI-TT-A3,V19S23-039,C1
BCLLATLAS_32,p7hv1g_tjgmyj,AQ9854,visium,BCLL-12-T,SI-TT-A4,V19S23-039,D1
BCLLATLAS_51,gcyl7c_cec61b,AS6169,visium,BCLL-13-T,SI-TT-D9,V10M16-059,A1
BCLLATLAS_51,zrt7gl_lhyyar,AS6170,visium,BCLL-14-T,SI-TT-D10,V10M16-059,B1
BCLLATLAS_51,qvwc8t_2vsr67,AS6171,visium,BCLL-9-T,SI-TT-D11,V10M16-059,C1
BCLLATLAS_51,exvyh1_66caqq,AS6172,visium,BCLL-11-T,SI-TT-D12,V10M16-059,D1
